Conc_Nr;Composer;WorkNr;Modern Ed;Concordances;Comment
Conc_4445;;;;GB-LblEg2046 / 33v - IRL-Dtc408-1 / 26 (3);See ConcR371
Conc_4446;Anthony Holborne;HolborneCWI, N°13;;GB-LblEg2046 / 34r (1) - GB-CuDd5783 / 11v - GB-Cfm689 / 6v - GB-Ge25 / 18r;
Conc_4447;;;;GB-LblEg2046 / 34r (2) - GB-CuNn636 / 10v - GB-CuDd933 / 95v (2);
Conc_4448;John Johnson;;;GB-LblEg2046 / 34v - GB-CuAdd8844 / 6v - Waissel1591 / L3v;
Conc_4449;;;;GB-LblEg2046 / 35v - GB-Lam603 / 40r (1) - GB-LblAdd63852 / 114v - GB-LblAdd30486 / 22r - GB-Cfm168 / 393;
Conc_4450;Robert Johnson;;;GB-LblEg2046 / 36r - GB-Lam603 / 19r (1) - GB-Ge25 / 49r - GB-LblAdd38539 / 20v (2) - GB-CuDd933 / 45v - GB-CuDd933 / 74v;
Conc_4451;;;;GB-LblEg2046 / 39r - GB-Lam603 / 40r (2) - GB-ObDon57 / 100r;
Conc_4452;;;;GB-LblEg2046 / 43r (1) - GB-Lam603 / 35r (3);
Conc_4453;;CLFVal I, N°44;;GB-LblEg2046 / 47v - Vallet1615 / 56 - Ballard1631 / 8 - Ballard1631 / 46 - Chancy1629 / 21r (mand) - CH-ZzQ907 / 21v - Praetorius1612 / G1v (2, XXXII 1.);
Conc_4454;John Johnson;;;GB-LblEg2046 / 51v - GB-Balcarres / 67 (2) - GB-CuDd318 / 12v - US-WsVa159 / 10r (duet) - US-WsVa159 / 12r (1) - IRL-DmZ3213 / 139 (duet) - GB-CuNn636 / 33v (duet) - GB-Welde / 11v (duet) - US-WsVb280 / 87v - US-CAh179 / *4r (2, citt) - US-CA182 / 66r (citt) - US-CA182 / 78r (citt) - US-NYpl_Drexel5609 / 119 (kb) - F-Pn1186 / 32r (kb) - Playford1652 / 103 (citt);
Conc_4455;Mercure d'Orléans;;;GB-LblEg2046 / 52v - GB-LblAdd38539 / 23v - US-WsVb280 / 19v - GB-CuDd211 / 29v - Fuhrmann1615 / 185 - D-HsM2768 / 117 - GB-DtcD330 / 60 - NewsidlerH1544AB / N4v - NewsidlerH1544AB / O2v - NewsidlerH1549AB / U1v - NewsidlerH1549AB / U3v - CH-BuF.X.11 / 21v (2);cf. ConcM12
Conc_4456;;;;GB-LblEg2046 / 53v;Partie: Conc_4455
Conc_4457;Charles de Lespine;;;S-N1122 / 2r - S-N9096-11 / 3v;
Conc_4458;Charles de Lespine;;;S-N1122 / 2v- S-N9096-11 / 5r;
Conc_4459;Charles de Lespine;;;S-N1122 / 3r- S-N9096-11 / 6r;
Conc_4460;Charles de Lespine;;;S-N1122 / 19v - S-N9096-11 / 6v;
Conc_4461;;;;S-Klm21068 / 27r - S-Skma3 / 65r (v) - S-LuG35 / 2v (v) - S-LuG30 / 2r (1, zittrinchen) - S-K4a / 2v (kb) - SK4a / 20v (kb) - S-LuN10 / 4 (kb) - S-Uu284 / 158 (kb) - S-Uu286 / 14v (kb);
Conc_4462;;;;S-Klm21068 / 26v - S-LuG35 / 3v (v);
Conc_4463;;;;S-Klm21068 / 21r (v) - S-Skma3 / 4v;
Conc_4464;;;;S-Klm21068 / 20v (v) - S-Skma3 / 5v (v);
Conc_4465;;;;S-Klm21068 / 20r (v) - S-Skma3 / 6v (v);
Conc_4466;;;;S-Klm21068 / 19v (v) - S-Skma3 / 8v (v);
Conc_4467;;;;S-LuG28 / 83r (v) - S-LuG34 / 7v - S-Skma3 / 39 (v);
Conc_4468;;;;D-B40642 / 16 (1) - F-PnThI / 25 (2) - N-Onm5038 / 308 (ma,gt?) - S-LuG28 / 105v - S-LuG34 / 34 - S-Sk2286 / 5v (kb);See Conc_1846
Conc_4469;;;;S-LuG28 / 104r (v) - S-LuG34 / 35v;
Conc_4470;;;;S-LuG34 / 41v - S-Sk2 / 34 (kb) - S-Sk174 / 41 (kb) - S-Sk175 / 2 (kb);
Conc_4471;;;;S-LuG37 / 20 - S-ÖS174 / 9v (kb);
Conc_4472;Lully;LWV 2/7;;Ballet des Plaisirs (LWV 2/7 - Air pour le veillard et sa famille) - S-LuG28 / 1v (v) - S-K4a / 65v (kb) - S-ÖS174 / 28v (kb) - S-ÖS174 / 23v (kb);
Conc_4473;;;;S-LuG28 / 2v (v) - S-Uu286 / 33v (kb);
Conc_4474;Lully;LWV 73/32;;Chaconne de Galathée - S-LuG28 / 4v (v);
Conc_4475;;;;S-LuG28 / 14r (v) - S-Skma3 / 34v (v);
Conc_4476;Charles de Lespine;;;S-N1122 / 33v - Vallet1616 / 19;
Conc_4477;;;;S-LuG28 / 38r (v) - S-LuG30 / 25r (zittrinchen);
Conc_4478;;;;S-LuG28 / 46v (v) - S-Skma3 / 59r (v);
Conc_4479;;;;S-LuG28 / 48v (v) - S-LuG30 / 10r (zittrinchen);
Conc_4480;;;;S-LuG28 / 62r (v) - S-Sk493a / 43v (kb);
Conc_4481;;;;A-KN1255 / 5v - S-Klm21072 / 6v;
Conc_4482;;;;S-LuG28 / 67v (v) - S-Skma3 / 25v (v);
Conc_4483;;;;S-LuG28 / 71r (v) - S-Skma3 / 81r (v) - S-LuWas24 / 93v (kb) - S-LuA3 / 15v (kb) - S-Sk228 / 8v (kb) - S-Uu408 / 10 (kb) - S-ÖS174 / 20v (kb);
Conc_4484;;;;S-LuG28 / 87v (2, v) - S-LuG30 / 10v (1, zittrinchen);
Conc_4485;;;;S-LuG28 / 103v (v) - S-Skma3 / 2v (v);
Conc_4486;;;;S-LuG28 / 106r - F-PnThI / 27 (2) - ReusnerGeistliche / 17 (3) - D-B40642 / 4 (3) - D-B40264 / 164;
Conc_4487;;;;S-Klm21072 / 19r - S-LuG28 / 107v (v) - S-Uu284 / 156;
Conc_4488;;;;S-Klm21072 / 47r - S-K4a / 43v (kb) - S-K8 / 10v (kb);
Conc_4489;;;;A-Wn17706 / 22v - D-DS1655 / 20v;
Conc_4490;;;;A-Wn17706 / 1v - D-B40601 / 58v;
Conc_4491;;;;A-KlmVogl / 13v - A-SEI / 2v - A-Wengel / 1 (4) - CZ-Bm13268 / 17r - D-B40068 / 28r (2) - D-LEm6-24 / 216r - D-SÜNms58 / 2r (1);cf. Conc_1 & Conc_4120
Conc_4492;Vallet / Pierre Guédron;CLFVal, N°76 - CLFBal II, 4;;CZ-PnmIVG18 / 114v - F-Pn494 / XI - GB-Eu_Coll2073 / 188v - RUS-SPanON124 / 31v - PL-Kj40641 / 12v (2, La Dauphine) - Ballard1614 / 7 - Fuhrmann1615 / 153 (2) - Moy1631 / K2r - Philidor-I / 96 - D-Ngm33748-1 / 31v - D-Ngm33748-1 / 32r - D-B479 / 24v - Bataille1611 / 15v - PhilidorI / 11 - Valerius1626 / 41 - Vallet1615 / 84 (2) - Pieuse alouette II / 14 - Vallet1642 / 26 (violin);
Conc_4493;Charles de Lespine;;;CZ-PnmIVG18 / 166v - GB-Eu_Coll2073 / 275v - US-Rm186 / 46 (Courante de l'Espine);
Conc_4494;;;FacsimSwan, N°33;A-KR81 / 152 (2) - A-KR81 / 54v (cog) - Besard1617 / 26 (1) - GB-Eu_Coll2073 / 17v - Ballard1613 / 22v - RUS-SPanON124 / 19v - D-Usch239 / 34v (mand) - F-Pn1402 / 79 (gt) - F-Psg2350 / 14v (kb) - F-Psg2357 / 6v (kb) - D-Kl108.5 / 10v (viol);cf. Conc_1052
Conc_4495;Robert Ballard;CLFBal I, 11 - CLFMer I, 19;FacsimBal I, 10;GB-Eu_Coll2073 / 191v - D-B4022 / 11r (2, Baleto du Roy Mercurij) - Ballard1611 / 10;
Conc_4496;Elias Mertel;;;CH-Bu53 / 27v - Mertel1615 / 37;
Conc_4497;;;;CZ-NLobKk84 / 26r - A-ETgoëssV / 19v - GaultierPieces / 17;
Conc_4498;;;;US-Rm186 / 20 - US-Rm186 / 56;
Conc_4499;;;;A-KR81 / 124v (1, f moll) - A-KR81 / 124v (2, f moll) - A-KR81 / 121r ( gmoll) - D-LEm6-15 / IV.25v ( f moll) - D-LEm6-23 / 79 (1, f moll) - F-Pn29 / 3v (f moll) - F-Pn29 / 7r (f moll) - I-Coc1-1-20 / 3r (f moll) - I-FnXIX45 / 3r (f moll) - I-FnXIX105 / 10v (f moll) - I-Nc7664 / 5v (f moll) - I-Nc7664 / 42r (f moll) - I-Rvat570 / 21r (1, f moll) - I-TRc1947 / 14v (3, f moll) - PL-Kj40153 / 63r (f moll) - US-SFscM21M3 / 30 (f moll) - US-SFscM21M3 / 91 (1, f moll) - US-SFscM21M3 / 91 (2, f moll) - US-SFscM21M3 / 92 (f moll) - I-SGc31 / 14r (2, g moll) - US-SFscM21M3 / 76 (g moll) - F-Pn31 / 22v (c moll) - I-Vnm1793 / 23r (d moll) - Negri1602 / 135;See Conc_4405
Conc_4500;;;;GB-Lam603 / 36r ( 4) - US-Rm186 / 72;
Conc_4501;;;;NL-Lt1666 / 377v - Caroso1581 / 163v - Caroso1600 / 153 - Caroso1600 / 367 - D-Fschneider8 / 68v - D-Fschneider8 / 72v - Hove601 / 103v - Negri1602 / 117 - Gardano1611 / 2 (1) - Praetorius1612 / F4r (2, XXVIII) - RogerON(2)1703 / 9 - MortierON(2)1709 / 12 (2) - A-KR81 / 125r - B-Br275 / 10r - B-Br16.662 / 2v - Barberiis1549_9 / A4v - Calvi1646 / 10 (gt) - CDN-Mc / 30r - CH-SAM1 / 9v - Colonna1637 / 22 (gt) - Corbetta1639 / 22 (gt) - Costanzo1627 / 46 (gt) - CZ-PnmIVG18 / 45v (Volte) - D-B4022 / 14v (3) - D-B4022 / 24 (3) - D-LEm6-15 / VII.10r - D-LEm6-15 / XII.14r - D-LEm6-23 / 16 - D-LEm6-23 / 67 - D-LEm6-23 / 68 - D-KA1214 / 44 (1) - D-WGuelf18.8 / IV.7r (1) - D-WGuelf18.8 / IV.7r (2) - D-WGuelf18.8 / IV.7v - D-WGuelf18.8 / X.3r - F-Pn28 / 2r - F-Pn28 / 8v - F-Pn31 / 4r - F-Pn941 / 6r - F-Pn941 / 41r - Fuhrmann1615 / 55 (1) - GB-ObSchC94 / VIr (3, gt) - I-BDGchilesotti / 181 (2) - I-Coc1-1-20 / 91v - I-Lg774 / 20r - I-FnXIX30 / 91v - I-FnXIX105 / 11v - I-FnXIX106 / 41r - I-FnXIX179 / 3v - I-Nc7664 / 8v - I-Nc7664 / 12r - I-Nc7664 / 40v - I-Nc7664 / 81v - I-TRc1947 / 4r (2) - I-TRc1947 / 14v (1) - I-TRc1947 / 20r (1) - I-Uu_alb6-43 / 8v (1) - I-Vnm1793 / 23v - I-Vnm1910 / N°25 (gt) - I-Vnm1910 / N°26 (gt) - I-Vnm1910 / N°27 (gt) - I-Vnm1910 / N°28 (gt) - I-Vnm1910 / N°51 (gt) - LT-Vs285LXXIX / 71v - Marchetti1661 / 24 (gt) - Millioni1627 / 44 (gt) - Sanseverino1622 / 30 (gt) - Trombetti1639 / 70 (gt) - US-BEm757 / 1 - US-BEm761 / 3v - US-BEm761 / 5v - US-SFscM21M3 / 59 - US-SFscM21M3 / 83 (1) - US-SFscM21M3 / 83 (2) - GB-Cfm168 (FWVB) / 405 - Terzi1599 / 21 (Balletto Francese) - GB-EuLaIII487 / 14;cf. D-HvonbuschHerhold / 42r
Conc_4502;;;;GB-CuDd5783 / 74v (2) - GB-CuDd933 / 67r (2) - GB-LblAdd38539 / 32v - A-KR81 / 153r - D-BHove1 / 43r - NL-Lt1666 / 378r - D-KA1214 / 24 (1) - D-Kl_Montbuysson / 59r (1) - D-LEm6-15 / XII.20r - GB-LblSloane1021 / 76v - Valerius1626 / 191 - EyckFL1646 / 41r (rec) - MortierON(2)1709 / 9 (3) - RogerON(2)1703 / 7 (2) - RogerON(6)1711 / 24 (1) - D-Usch133b / 19v (mand);
Conc_4503;Francis Cutting;;;IRL-Dtc408-2 / 104 (1) - GB-LblAdd31392 / 29r - Hove1601 / 107v (2) - NL-Lt1666 / 390r (2) - NL-Lt1666 / 390v (1) - NL-Lt1666 / 390v (2) - Playford1652 / 31 (citt) - Playford1686 / 186 (vl) - GB-Balcarres / 62 - Dd318 / 8v - GB-Lam601 / 3r - US-WsVb280 / 5r (1) - US-WsVb280 / 5r (2) - GB-CuDd423 / 25r (2, Citt) - US-CA_Mus182 / 67 (Citt) - GB-CuDd520 / 6r (bass viol) - GB-CuDd521 / 10r (rec) - LT-Vs285LXXIX / 40r (band) - GB-En808 / 9 (violin) - F-Pn1186 / 101r (kb) - GB-Och92 / 3r (kb) - US-NYpl_Drexel5609 / 71 (kb) - US-NYpl_Drexel5609 / 187;
Conc_4504;;CLFVal I, N°4;;Vallet1615 / 2 (2) - S-B172 / 33v;
Conc_4505;J. Mercure;CLFMer, N°23;;S-B172 / 14r - S-B172 / 26r - D-LEm6-15 / VIII.7v (2) - D-Kl_Montbuysson / 66v;
Conc_4506;;;;A-LIa475 / 92v (2) - S-B172 / 35r - Fuhrmann1615 / 45 (Elias Mertel Argentiniensis) - D-WGuelf18.7 / I.63r - D-LEm6-15 / XIII.5v - D-Lr2000 / 81 - DK-KkThott841 / 147r (1) - GB-Cfm688 / 32r;
Conc_4507;;;;D-KNu / 13r - CZ-Bm13268 / 16v;
Conc_4508;;;;F-PnThII / 4r (1);cf. Conc_1050
Conc_4509;;;;CZ-PnmIVG18 / 198r - GB-CtcO162 / 114 - GB-WMl-7 / 71r;
Conc_4510;;;;GB-EnDep314 / 45v - GB-Balcarres / 109 (1);
Conc_4511;;;;D-B40068 / 74v - D-Ngm33748-6 / 11r (1);
Conc_4512;;;;D-ROu54 / 329 (Allemande de Rosette);See Conc_311
Conc_4513;;;;D-B40068 / 47v (2) - D-Ngm33748-6 / 12r;
Conc_4514;;;;D-Ngm33748-6 / 7v (1) - D-Ngm33748-8 / 2r (1);
Conc_4515;;;;D-Ngm33748-6 / 8v (1) - D-Ngm33748-8 / 2r (2);
Conc_4516;;;;Vallet1615 / 21 - Octonaires / N°1;
Conc_4517;;;;Vallet1615 / 22 - Dodecacorde / 0 (A ton bras droit);
Conc_4518;;;;GB-Lbl1868 / 63 (3) - I-Ven / 458.7;
Conc_4519;;;;GB-LblEg2046 / 25v - Mylius1622 / 59;
Conc_4520;;;;Vallet1616 / 25 - PL-Kj40153 / 24v;
Conc_4521;;;;D-LEm6-24 / 226v - D-RpAN62 / 1v;
Conc_4522;;;;D-Bsa4060 / 2v - D-RpAN62 / 8v;
Conc_4523;;;;D-Bsa4060 / 132v - D-RpAN62 / 18v;
Conc_4524;;;;D-Bsa4060 / 133v - D-RpAN62 / 19v;
Conc_4525;;;;GB-Ob617 / 116 - US-CAh174 / 36;
Conc_4526;Lully;LWV 32/8;;"D-RpAN62 / 32v (Ballet des Muses: ""Vivons heureux"") - PL-Lw1985 / 80v (3)";
Conc_4527;;;;US-Rm186 / 37 (1) - Valerius1626 / 150 - D-B479 / 68r - Vallet1642 / 38v (violin);
Conc_4528;Lully;LWV 42/4;;"D-RpAN62 / 17v (Les Pecheurs de corail ""Les Amants magnifiques"")";
Conc_4529;Lully;LWV 40/33;;"D-RpAN62 / 20v (Ballet de Flore: ""Trompette"")";
Conc_4530;Johann Kropfgans;;;B-Br4088 / 3-1v - B-Br4088 / 9-1v;
Conc_4531;Johann Kropfgans;;;B-Br4088 / 3-2v - B-Br4088 / 9-2r;
Conc_4532;Johann Kropfgans;;;B-Br4088 / 3-3r - B-Br4088 / 9-2v;
Conc_4533;Johann Kropfgans;;;B-Br4088 / 3-4r - B-Br4088 / 9-3r;
Conc_4534;Johann Kropfgans;;;B-Br4088 / 3-4v - B-Br4088 / 9-3r;
Conc_4535;Johann Kropfgans;;;B-Br4088 / 3-5r - B-Br4088 / 9-3v;
Conc_4536;Johann Kropfgans;;;B-Br4088 / 11-1v - B-Br4088 / 14-1v;
Conc_4537;Johann Kropfgans;;;B-Br4088 / 11-2v - B-Br4088 / 14-2v;
Conc_4538;Johann Kropfgans;;;B-Br4088 / 11-2v - B-Br4088 / 14-2v;
Conc_4539;Johann Kropfgans;;;B-Br4088 / 11-3v - B-Br4088 / 14-3v;
Conc_4540;Karl Kohaut;;;D-As / 33.2r - D-B11834 / f5.1v;
Conc_4541;Karl Kohaut;;;D-As / 33.2r - D-B11834 / f5.5v;
Conc_4542;Karl Kohaut;;;D-As / 33.4v - D-B11834 / f5.6v ;
Conc_4543;;;;D-LEm6-24 / 227v - D-Bsa4060 / 69v;
Conc_4544;;;;F-Pn48 / 106v - PL-Kj40626 / 16v (gt);
Conc_4545;;;;F-Pn48 / 117v - D-Mbs1503 / 3r (Artus, kb);
Conc_4546;Bocquet;CLFBocII, N°6;;F-Pn48 / 135r;
Conc_4547;Bocquet;CLFBocII, N°20;;F-Pn48 / 135v;
Conc_4548;Lully;LWV 53/54;;F-Pn6212 / 31r;
Conc_4549;Karl Kohaut (Pfeiffer?);;;D-As / 9.2r - D-B11834 / 9.1v;
Conc_4550;Karl Kohaut (Pfeiffer?);;;D-As / 9.3v - D-B11834 / 9.3v;
Conc_4551;Karl Kohaut (Pfeiffer?);;;D-As / 9.4v - D-B11834 / 9.4v;
Conc_4552;;;;A-KR77 / 3v - D-B40149 / 4;
Conc_4553;;;;D-B40149 / 6 - D-B40627 / 48r;
Conc_4554;;;;A-ETgoëssIII / 48v - D-B40149 / 10;
Conc_4555;;;;A-ETgoëssVI / 31v - D-B40149 / 34;
Conc_4556;;;;D-B40149 / 48 - A-KR82b / *49r (var.);
Conc_4557;;;;D-DS1655 / 94v - F-Pn48 / 80v;
Conc_4558;;;;Lesage / 3 (3) - PL-Wn396 / 78v;
Conc_4559;;;;D-Mbs5362 / 22r - FalckenhagenSonate / 14;
Conc_4560;;;;D-Mbs5362 / 23v - FalckenhagenPartite / 9;
Conc_4561;;;;D-Mbs5362 / 35r - FalckenhagenPartite / 28;
Conc_4562;;;;D-Mbs5362 / 39v (1) - I-Ven / 495.1;
Conc_4563;;;;D-Mbs5362 / 39v (2) - I-Ven / 495.2;
Conc_4564;Andreas Bohr von Bohrenfels?;;;CZ-NlobKk73 / 61 - CZ-NlobKk73 / 94;
Conc_4565;;;;A-GÖ2 / 77v - A-KR77 / 25r - PL-Wu2010 / 41 - D-SÜNms58 / 25v;
Conc_4566;;;;A-ETgoëssVI / 7v - A-KN1255 / 44v;
Conc_4567;Robert de Visée;;;F-B279152 / 203 (in f#) - ViseePieces / 3 (in g);
Conc_4568;Robert de Visée;;;F-B279152 / 202 (in f#) - ViseePieces / 5 (in g);
Conc_4569;Robert de Visée;;;F-B279152 / 190 - ViseePieces / 7;
Conc_4570;Robert de Visée;;;F-B279152 / 204 (1, in f#) - ViseePieces / 8 (in g);
Conc_4571;Robert de Visée;;;F-B279152 / 224 (1, in d) - F-Pn1106 / 73r (in d) - F-PnVm7-6265 / 35 (in d) - ViseePieces / 11 (in g);
Conc_4572;Robert de Visée;;;F-B279152 / 205 - ViseePieces / 15;
Conc_4573;Robert de Visée;;;F-B279152 / 206 (2) - ViseePieces / 21;
Conc_4574;Robert de Visée;;;F-B279152 / 223 (2) - ViseePieces / 22;
Conc_4575;Robert de Visée;;;F-B279152 / 55 - ViseePieces / 33;
Conc_4576;Robert de Visée;;;F-B279152 / 61 (2) - ViseePieces / 40;
Conc_4577;Robert de Visée;;;F-B279152 / 64 (1, in a) - F-B279152 / 308 (1, in e) - F-PnVm7-6265 / 27 (in e) - ViseePieces / 44 (in a);
Conc_4578;Robert de Visée;;;F-B279152 / 228 (in d) - F-Pn1106 / 71v (in d) - F-PnVm7-6265 / 38 (in d) - ViseePieces / 1 (in g);
Conc_4579;Robert de Visée;;;F-B279152 / 154 (1, in A) - ViseePieces / 48;
Conc_4580;Robert de Visée;;;F-B279152 / 175 - ViseePieces / 53;
Conc_4581;Robert de Visée;;;F-B279152 / 65 (in a) - ViseePieces / 55 (in c);
Conc_4582;Robert de Visée;;;F-B279152 / 173 - ViseePieces / 61;
Conc_4583;Robert de Visée;;;F-B279152 / 187 - ViseePieces / 62;
Conc_4584;Robert de Visée;;;F-B279152 / 253 - F-PnVm7-6265 / 8 - ViseePieces / 81;
Conc_4585;Robert de Visée;;;F-B279152 / 257 (2, in a) - F-Pn1106 / 25v (in a) - ViseePieces / 88 (in d);
Conc_4586;Robert de Visée;;;F-B279152 / 132 - ViseePieces / 96 (2);
Conc_4587;Robert de Visée;;;F-B279152 / 76 - ViseePieces / 97;
Conc_4588;Robert de Visée;;;F-B279152 / 204 (2, in f#) - ViseePieces / 12 (in g);
Conc_4589;Robert de Visée;;;F-B279152 / 224 (2, in d) - F-Pn1106 / 74v (in d) - F-PnVm7-6265 / 36 (1, in d) - ViseePieces / 14 (in g);
Conc_4590;Robert de Visée;;;F-B279152 / 221 (2, in d) - ViseePieces / 17 (in g);
Conc_4591;Robert de Visée;;;F-B279152 / 206 (1, in f#) - ViseePieces / 18 (in g);
Conc_4592;Robert de Visée;;;F-B279152 / 229 (in d) - ViseePieces / 19 (in g);
Conc_4593;Robert de Visée;;;F-B279152 / 342 (in D) - F-Pn1106 / 87v (in D) - F-PnVm7-6265 / 48 (1, in D) - ViseePieces / 23 (in G);
Conc_4594;Robert de Visée;;;F-B279152 / 339 (in D) - F-Pn1106 / 88v (in D) - F-PnVm7-6265 / 48 (2, in D) - ViseePieces / 25 (in G);
Conc_4595;Robert de Visée;;;F-B279152 / 343 (in D) - F-Pn1106 / 89r (in D) - F-PnVm7-6265 / 50 (1, in D) - ViseePieces / 26 (in G);
Conc_4596;Robert de Visée;;;F-B279152 / 341 (in D) - F-Pn1106 / 89v (in D9 - F-PnVm7-6265 / 50 (2, in D) - ViseePieces / 27 (in G);
Conc_4597;Robert de Visée;;;F-B279152 / 100 - ViseePieces / 29;
Conc_4598;Robert de Visée;;;F-B279152 / 379 (in g) - F-PnVm7-6265 / 74 (in g) - ViseePieces / 67 (in c);
Conc_4599;Robert de Visée;;;F-B279152 / 305 (in e) - F-Pn1106 / 95v (in e) - F-PnVm7-6265 / 20 (in e) - ViseePieces / 37 (in a);
Conc_4600;Robert de Visée;;;F-B279152 / 307 (1, in e) - F-Pn1106 / 95r (in e) - F-PnVm7-6265 / 21 (in e) - ViseePieces / 38 (in a);
Conc_4601;Robert de Visée;;;F-B279152 / 305 (2, in e) - ViseePieces / 39 (in a);
Conc_4602;Robert de Visée;;;F-B279152 / 304 (in e) - F-Pn1106 / 96v (in e) - F-PnVm7-6265 / 22 (in e) - ViseePieces / 41 (in a);
Conc_4603;Robert de Visée;;;F-B279152 / 307 (2, in e) - F-Pn1106 / 97r (in e) - F-PnVm7-6265 / 23 (in e) - F-PnVm7-6265 / 27 (1, in e) - ViseePieces / 43 (in a);
Conc_4604;Robert de Visée;;;F-B279152 / 272 (1, in F) - F-Pn1106 / 67v (in F) - ViseePieces / 47 (in Bb);
Conc_4605;Robert de Visée;;;F-B279152 / 154 (2, in A) - ViseePieces / 49 (in Bb);
Conc_4606;Robert de Visée;;;F-B279152 / 404 (in c) - F-Pn1106 / 55v (in c) - ViseePieces / 109 (in f);
Conc_4607;Robert de Visée;;;F-B279152 / 380 (2, in g) - ViseePieces / 64 (in c);
Conc_4608;Robert de Visée;;;F-B279152 / 378 (2, in g) - ViseePieces / 65 (in c);
Conc_4609;Robert de Visée;;;F-B279152 / 375 (2, in g) - F-Pn1106 / 5r (in g) - F-PnVm7-6265 / 75 (in g) - ViseePieces / 69 (1, in c);
Conc_4610;Robert de Visée;;;F-B279152 / 375 (1, in g) - F-Pn1106 / 5v (in g) - ViseePieces / 69 (2, in c);
Conc_4611;Robert de Visée;;;F-B279152 / 380 (1, in g) - F-Pn1106 / 6r (in g) - ViseePieces / 70 (in c);
Conc_4612;Robert de Visée;;;F-B279152 / 235 (1, in C) - F-Pn1106 / 63v (in C) - F-PmVm7-6265 / 29 (in C) - ViseePieces / 111 (in F);
Conc_4613;Robert de Visée;;;F-B279152 / 131 (1, in D) - ViseePieces / 74 (in C);
Conc_4614;Robert de Visée;;;F-B279152 / 132 (1, in D) - ViseePieces / 75 (in C);
Conc_4615;Robert de Visée;;;F-B279152 / 102 (in G) - ViseePieces / 76 (in C);
Conc_4616;Robert de Visée;;;F-B279152 / 292 (Th, in G) - F-B279152 / 152 (2, in A) - F-PnF844 / 109 - F-PnVm7-6265 / 68 (Th, in G) -F-Pn1106 / 46r (Th, in G) - ViseePieces / 77 (Th, in C);
Conc_4617;Robert de Visée;;;F-B279152 / 291 (1, in G) - F-Pn1106 / 18r (in G) - ViseePieces / 80 (in C);
Conc_4618;Robert de Visée;;;F-B279152 / 70 - ViseePieces / 84;
Conc_4619;Robert de Visée;;;F-B279152 / 357 (in A) - F-Pn1106 / 37v (in A) - F-PnVm7-6265 / 14 (in A) - ViseePieces / 89 (in D);
Conc_4620;Robert de Visée;;;F-B279152 / 358 (1, in A) - F-Pn1106 / 38v (in A) - F-PnVm7-6265 / 15 (in A) - ViseePieces / 91 (in D);
Conc_4621;Robert de Visée;;;F-B279152 / 131 (2) - ViseePieces / 92;
Conc_4622;Robert de Visée;;;F-B279152 / 358 (2, in A) - F-Pn1106 / 39r in A) - F-PnVm7-6265 / 16 (1, in A) - ViseePieces / 93 (in D);
Conc_4623;Robert de Visée;;;F-B279152 / 359 (1, in A) - F-Pn1106 / 39v (in A) - F-PnVm7-6265 / 16 (in A) - ViseePieces / 94 (in D);
Conc_4624;Robert de Visée;;;F-B279152 / 359 (2, in A) - F-Pn1106 / 40r (in A) - F-PnVm7-6265 / 17 (in A) - ViseePieces / 96 (1, in D);
Conc_4625;Robert de Visée;;;F-B279152 / 321 (in bb) - F-Pn1106 / 45v (in bb) - F-PnVm7-6265 / 58 (2, in bb) - ViseePieces / 99 (in e);
Conc_4626;Robert de Visée;;;F-B279152 / 322 (1, in bb) - F-Pn1106 / 46v (in bb) - F-PnVm7-6265 / 60 (1, in bb) - ViseePieces / 101 (in e);
Conc_4627;Robert de Visée;;;F-B279152 / 322 (2, in bb) - F-Pn1106 / 47r (in bb) - F-PnVm7-6265 / 60 (2,in bb) - ViseePieces / 102 (in e);
Conc_4628;Robert de Visée;;;F-B279152 / 323 (1, in bb) - F-Pn1106 / 47v (in bb) - F-PnVm7-6265 / 62 (in bb) - ViseePieces / 103 (in e);
Conc_4629;Robert de Visée;;;F-B279152 / 323 (2, in bb) - F-Pn1106 / 48r (in bb) - F-PnVm7-6265 / 61 (in bb) - ViseePieces / 104 (in e);
Conc_4630;Robert de Visée;;;F-B279152 / 402 (1, in c) - F-Pn1106 / 54v (in c) - ViseePieces / 107 (in f);
Conc_4631;Robert de Visée;;;F-B279152 / 403 (in c) - F.Pn1106 / 55r (in c) - ViseePieces / 108 (in f);
Conc_4632;;;;D-B40642 / 17 (1) - F-PnThI / 40 (1);
Conc_4633;;;;PL-Wu2010 / 83 (1) - PL-Wu2010 / 233;
Conc_4634;;;;A-ETgoëssHue / 40v - A-ETgoëssHue / 78r;
Conc_4635;;;;D-SWl_641 / 24 - F-Pn48 / 120v - F-PnVmf51 / 13v - S-Klm21072 / 21v;
Conc_4636;;;;A-KR77 / 4v (2) - D-B40627 / 54r - D-B40627 / 55r (var);
Conc_4637;;;;D-LEm6-24 / 198r - PL-LZu3779 / 9r;
Conc_4638;;;;PL-Wn396 / 97v (1) - PL-Wn396 / 297r (2);
Conc_4639;Losy;;;CZ-NlobKk77 / 49v (in a, gt) - D-B40627 / 22v (in d);
Conc_4640;Losy;;;CZ-NlobKk77 / 83v (gt) - D-Fschneider13 / 197 - PL-Wn396 / 287v;
Conc_4641;;;;A-Egger1766 / 53v - SK-BRu1092 / 11v;
Conc_4642;;;;A-Egger1766 / 93r (in Bb) - SK-BRu1092 / 12r (in A);
